stock_code,stock_name,liqa_share,latest_price,circ_market_cap,industry,industry_classification,industry_type
000004,上证工业类指数,126288093.0000,4.3400,5.480903236200,I65软件和信息技术服务业,证监会行业分类,科技
000004,*ST国华,126288093.0000,4.3400,5.480903236200,I65软件和信息技术服务业,证监会行业分类,科技
688130,晶华微,30126248.0000,20.9500,6.311448956000,I65软件和信息技术服务业,证监会行业分类,科技
688758,赛分科技,39504286.0000,19.9800,7.892956342800,C26化学原料和化学制品制造业,证监会行业分类,其他
603075,热威股份,40010000.0000,21.9800,8.794198000000,C38电气机械和器材制造业,证监会行业分类,其他
600599,*ST熊猫,166000000.0000,5.6100,9.312600000000,F51批发业,证监会行业分类,其他
605069,正和生态,84161278.0000,11.8200,9.947863059600,N77生态保护和环境治理业,证监会行业分类,其他
688671,碧兴物联,45865622.0000,21.9900,10.085850277800,C40仪器仪表制造业,证监会行业分类,其他
603190,亚通精工,40519480.0000,25.0400,10.146077792000,C36汽车制造业,证监会行业分类,其他
688573,信宇人,51994296.0000,19.6300,10.206480304800,C35专用设备制造业,证监会行业分类,其他
688721,龙图光罩,26700000.0000,39.2300,10.474410000000,C39计算机、通信和其他电子设备制造业,证监会行业分类,科技
603201,常润股份,64759335.0000,16.4900,10.678814341500,C34通用设备制造业,证监会行业分类,其他
688370,丛麟科技,43749116.0000,25.2500,11.046651790000,N77生态保护和环境治理业,证监会行业分类,其他
603207,小方制药,40000000.0000,28.3000,11.320000000000,C27医药制造业,证监会行业分类,医药
688651,盛邦安全,31510426.0000,38.0500,11.989717093000,I65软件和信息技术服务业,证监会行业分类,科技
688701,卓锦股份,134277372.0000,9.4000,12.622072968000,N77生态保护和环境治理业,证监会行业分类,其他
600421,*ST华嵘,195600000.0000,6.5500,12.811800000000,C34通用设备制造业,证监会行业分类,其他
603276,恒兴新材,77649497.0000,16.7000,12.967465999000,C26化学原料和化学制品制造业,证监会行业分类,其他
603097,江苏华辰,40000000.0000,32.6000,13.040000000000,C38电气机械和器材制造业,证监会行业分类,其他
688061,灿瑞科技,43297770.0000,30.3800,13.153862526000,I65软件和信息技术服务业,证监会行业分类,科技
603282,亚光股份,64184459.0000,21.1600,13.581431524400,C35专用设备制造业,证监会行业分类,其他
688096,京源环保,164176806.0000,8.4700,13.905775468200,C35专用设备制造业,证监会行业分类,其他
688750,金天钛业,77420306.0000,18.0700,13.989849294200,C32有色金属冶炼和压延加工业,证监会行业分类,资源
688247,宣泰医药,142321600.0000,9.8600,14.032909760000,C27医药制造业,证监会行业分类,医药
603082,北自科技,40556900.0000,35.0500,14.215193450000,C34通用设备制造业,证监会行业分类,其他
603789,*ST星农,260000000.0000,5.6800,14.768000000000,C35专用设备制造业,证监会行业分类,其他
688496,清越科技,237945600.0000,6.2100,14.776421760000,C39计算机、通信和其他电子设备制造业,证监会行业分类,科技
603102,百合股份,35864455.0000,41.6300,14.930372616500,C14食品制造业,证监会行业分类,其他
603391,力聚热能,22750000.0000,65.8800,14.987700000000,C34通用设备制造业,证监会行业分类,其他
688296,和达科技,107393160.0000,13.9900,15.024303084000,I65软件和信息技术服务业,证监会行业分类,科技
688121,卓然股份,141578667.0000,10.8800,15.403758969600,C35专用设备制造业,证监会行业分类,其他
603062,麦加芯彩,33220800.0000,47.3000,15.713438400000,C26化学原料和化学制品制造业,证监会行业分类,其他
600543,莫高股份,321120000.0000,4.9300,15.831216000000,C15酒、饮料和精制茶制造业,证监会行业分类,其他
688217,睿昂基因,55855896.0000,28.4000,15.863074464000,C27医药制造业,证监会行业分类,医药
688053,ST思科瑞,43273800.0000,36.9800,16.002651240000,M74专业技术服务业,证监会行业分类,其他
603729,龙韵股份,93338000.0000,17.2500,16.100805000000,L72商务服务业,证监会行业分类,其他
688045,必易微,36906189.0000,44.4700,16.412182248300,I65软件和信息技术服务业,证监会行业分类,科技
688391,钜泉科技,56753904.0000,29.4900,16.736726289600,I65软件和信息技术服务业,证监会行业分类,科技
688509,正元地信,384792200.0000,4.4600,17.161732120000,M74专业技术服务业,证监会行业分类,其他
603211,晋拓股份,67952000.0000,25.5000,17.327760000000,C36汽车制造业,证监会行业分类,其他
688429,时创能源,117827227.0000,14.9500,17.615170436500,C38电气机械和器材制造业,证监会行业分类,其他
603270,金帝股份,70716667.0000,24.9500,17.643808416500,C34通用设备制造业,证监会行业分类,其他
605566,福莱蒽特,62287972.0000,28.6300,17.833046383600,C26化学原料和化学制品制造业,证监会行业分类,其他
600381,*ST春天,587060741.0000,3.0700,18.022764748700,C14食品制造业,证监会行业分类,其他
688078,龙软科技,72893000.0000,25.0800,18.281564400000,I65软件和信息技术服务业,证监会行业分类,科技
000056,上证国企,903671558.0000,2.0300,18.344532627400,L72商务服务业,证监会行业分类,其他
000056,皇庭国际,903671558.0000,2.0300,18.344532627400,L72商务服务业,证监会行业分类,其他
603271,永杰新材,38570371.0000,47.6700,18.386495855700,C32有色金属冶炼和压延加工业,证监会行业分类,资源
688067,爱威科技,68000000.0000,27.1400,18.455200000000,C27医药制造业,证监会行业分类,医药
688657,浩辰软件,40389399.0000,46.0200,18.587201419800,I65软件和信息技术服务业,证监会行业分类,科技
603231,索宝蛋白,106265982.0000,17.5100,18.607173448200,C13农副食品加工业,证监会行业分类,其他
600697,欧亚集团,155376015.0000,12.0800,18.769422612000,F52零售业,证监会行业分类,其他
