volatility,avg_turnover,limit_up_count,limit_up_frequency,main_wave_count,main_wave_success_rate,avg_wave_gain,avg_wave_days,avg_wave_turnover_ratio,recent_10d_turnover,turnover_q25,turnover_q50,turnover_q75,data_days,stock_code,stock_name,circ_market_cap,industry_type
54.5,5.13,1,1.0,7,7.0,28.29,20.0,1.81,7.21,2.71,4.29,6.8,250,000004,上证工业类指数,5.480903236200,科技
54.5,5.13,1,1.0,7,7.0,28.29,20.0,1.81,7.21,2.71,4.29,6.8,250,000004,*ST国华,5.480903236200,科技
47.73,3.71,2,2.0,0,0.0,0.0,0.0,0.0,2.23,1.93,2.81,4.36,250,688130,晶华微,6.311448956000,科技
45.46,4.97,1,1.0,8,8.0,25.32,20.0,2.82,1.8,2.6,3.59,6.09,250,688721,龙图光罩,10.474410000000,科技
56.11,6.12,4,4.0,8,2.0,32.72,20.0,2.19,3.89,3.09,4.61,7.19,250,688651,盛邦安全,11.989717093000,科技
35.39,2.53,0,0.0,0,0.0,0.0,0.0,0.0,4.45,1.46,2.01,3.15,250,688061,灿瑞科技,13.153862526000,科技
52.43,2.52,2,2.0,6,3.0,22.72,20.0,2.77,3.62,1.57,2.0,2.82,250,688496,清越科技,14.776421760000,科技
38.1,2.05,0,0.0,0,0.0,0.0,0.0,0.0,2.07,1.58,1.93,2.38,250,688296,和达科技,15.024303084000,科技
46.48,4.16,3,3.0,17,5.667,32.65,20.0,2.34,2.3,2.4,3.49,5.03,250,688045,必易微,16.412182248300,科技
34.35,1.68,0,0.0,2,0.0,21.43,20.0,1.66,1.09,1.02,1.46,1.96,250,688391,钜泉科技,16.736726289600,科技
37.4,1.48,0,0.0,0,0.0,0.0,0.0,0.0,1.24,1.0,1.27,1.77,250,688078,龙软科技,18.281564400000,科技
47.03,2.78,2,2.0,9,4.5,28.53,20.0,2.23,2.18,1.31,2.13,3.37,250,688657,浩辰软件,18.587201419800,科技
52.12,2.79,2,2.0,13,6.5,24.35,20.0,2.24,0.57,0.85,1.76,3.63,250,688489,三未信安,19.288435412400,科技
40.17,2.7,1,1.0,15,15.0,35.45,20.0,3.23,3.77,1.11,1.6,2.74,250,688479,友车科技,20.338078238400,科技
59.56,4.45,5,5.0,14,2.8,27.2,20.0,2.23,2.14,1.81,2.93,5.47,250,688292,浩瀚深度,21.874964247000,科技
52.53,3.4,3,3.0,23,7.667,29.81,20.0,2.41,2.05,1.94,2.78,3.97,250,688038,中科通达,23.146669260000,科技
59.58,1.86,3,3.0,17,5.667,31.27,20.0,2.5,1.18,1.05,1.47,2.21,250,688051,佳华科技,23.981273400000,科技
80.2,8.5,8,8.0,33,4.125,49.84,20.0,1.97,6.48,4.47,7.47,11.24,250,688691,灿芯股份,24.110250000000,科技
66.86,4.92,7,7.0,30,4.286,35.03,20.0,3.63,4.09,2.49,3.72,6.07,250,688118,普元信息,25.681386356100,科技
56.6,4.48,3,3.0,18,6.0,31.04,20.0,2.55,3.21,2.79,3.85,5.49,250,688369,致远互联,25.705151640100,科技
65.63,2.23,7,7.0,15,2.143,30.47,20.0,1.96,1.49,1.33,1.8,2.68,250,688282,理工导航,26.027804000000,科技
60.33,6.12,15,15.0,18,1.2,63.83,20.0,2.04,5.5,2.81,4.5,7.83,250,603052,可川科技,26.319370000000,科技
46.75,3.19,1,1.0,2,2.0,22.27,20.0,1.57,1.85,2.04,2.83,3.89,250,688207,格灵深瞳,26.792035452000,科技
52.67,2.72,3,3.0,0,0.0,0.0,0.0,0.0,4.7,1.55,2.08,3.09,250,688288,鸿泉技术,27.495918944000,科技
48.76,3.8,10,10.0,2,0.2,22.23,20.0,2.5,11.57,1.49,2.37,4.53,250,000020,上证中型企业综合指数,29.312560263800,科技
48.76,3.8,10,10.0,2,0.2,22.23,20.0,2.5,11.57,1.49,2.37,4.53,250,000020,深华发A,29.312560263800,科技
33.35,3.03,1,1.0,1,1.0,20.26,20.0,1.79,1.64,1.69,2.25,3.41,250,603602,纵横通信,29.985676724400,科技
63.96,13.92,12,12.0,20,1.667,39.77,20.0,2.71,4.47,6.98,10.44,17.56,250,603124,江南新材,30.080836302400,科技
41.09,4.02,1,1.0,4,4.0,24.24,20.0,1.81,3.36,1.94,3.0,5.06,250,600405,动力源,30.540804729600,科技
38.79,2.8,1,1.0,0,0.0,0.0,0.0,0.0,3.72,1.69,2.4,3.39,250,605258,协和电子,30.756000000000,科技
54.44,11.07,9,9.0,11,1.222,24.75,20.0,2.85,15.13,5.66,8.4,13.46,250,603042,华脉科技,31.764670352000,科技
58.43,2.74,3,3.0,20,6.667,44.19,20.0,2.15,1.42,1.5,2.14,3.3,250,688682,霍莱沃,31.991961506400,科技
54.07,3.5,3,3.0,1,0.333,21.64,20.0,1.64,1.26,1.93,2.89,4.34,250,688486,龙迅股份,33.980348340800,科技
64.44,3.25,9,9.0,13,1.444,29.41,20.0,1.99,5.25,1.87,2.61,4.0,250,688272,富吉瑞,34.184800000000,科技
69.75,6.74,9,9.0,31,3.444,42.58,20.0,2.26,6.51,3.35,5.3,8.69,250,688416,恒烁股份,34.804401023700,科技
74.58,10.5,11,11.0,22,2.0,39.18,20.0,3.99,9.81,4.79,7.92,13.5,250,688552,航天南湖,34.857241080000,科技
55.73,4.98,4,4.0,14,3.5,33.28,20.0,2.02,2.5,3.04,4.23,6.09,250,688615,合合信息,35.000000000000,科技
55.52,3.46,3,3.0,9,3.0,27.25,20.0,3.01,2.58,2.18,2.95,3.99,250,688590,新致软件,35.647560458400,科技
33.47,1.34,0,0.0,0,0.0,0.0,0.0,0.0,1.51,0.88,1.1,1.54,250,605218,伟时电子,36.543505082000,科技
69.96,5.84,6,6.0,10,1.667,56.57,20.0,1.94,3.73,3.32,4.98,7.41,250,688159,有方科技,37.588592950000,科技
36.15,0.97,1,1.0,14,14.0,25.61,20.0,4.04,0.69,0.47,0.74,1.16,250,688232,新点软件,37.818803936000,科技
77.74,4.36,7,7.0,26,3.714,35.82,20.0,2.99,6.37,2.16,3.35,5.76,250,688229,博睿数据,38.157360000000,科技
49.48,3.97,7,7.0,8,1.143,26.62,20.0,2.36,2.22,1.92,2.99,4.79,250,605588,冠石科技,38.289550051800,科技
46.96,2.7,2,2.0,4,2.0,26.14,20.0,1.76,1.21,1.47,2.06,3.01,250,688381,帝奥微,39.021964640000,科技
44.34,2.9,1,1.0,0,0.0,0.0,0.0,0.0,1.59,1.71,2.5,3.49,250,688259,创耀科技,39.720520000000,科技
44.35,2.68,1,1.0,0,0.0,0.0,0.0,0.0,1.18,1.55,2.11,3.1,250,688609,九联科技,40.950000000000,科技
65.83,4.09,5,5.0,10,2.0,37.13,20.0,2.12,3.56,1.84,3.01,5.12,250,688148,芳源股份,40.966896155900,科技
45.27,2.01,1,1.0,4,4.0,22.99,20.0,2.34,2.49,1.07,1.68,2.57,250,688689,银河微电,41.171671539800,科技
44.26,3.23,8,8.0,18,2.25,43.28,20.0,5.3,0.99,1.15,1.86,3.1,250,603390,通达电气,41.445998902500,科技
